COD_ESC;IDESP_AI;IDESP_AF;IDESP_EM;ANO_APLICACAO;DTCADASTRO
290543;5.34;3.49;1.53;2019;2023-03-20 11:15:36.7230000
29105;0.00;4.34;3.79;2019;2023-03-20 11:15:36.7230000
29117;0.00;2.54;1.62;2019;2023-03-20 11:15:36.7230000
2914;0.00;0.00;1.77;2019;2023-03-20 11:15:36.7230000
29178;0.00;0.00;4.62;2019;2023-03-20 11:15:36.7230000
292;4.39;0.00;0.00;2019;2023-03-20 11:15:36.7230000
29208;0.00;3.65;2.60;2019;2023-03-20 11:15:36.7230000
29221;0.00;3.33;2.51;2019;2023-03-20 11:15:36.7230000
2926;0.00;3.27;1.75;2019;2023-03-20 11:15:36.7230000
29269;0.00;7.78;0.00;2019;2023-03-20 11:15:36.7230000
29300;0.00;4.69;0.00;2019;2023-03-20 11:15:36.7230000
29324;0.00;0.00;3.61;2019;2023-03-20 11:15:36.7230000
29336;0.00;3.78;2.49;2019;2023-03-20 11:15:36.7230000
29361;0.00;4.02;3.42;2019;2023-03-20 11:15:36.7230000
29373;0.00;3.33;2.83;2019;2023-03-20 11:15:36.7230000
2938;5.61;0.00;0.00;2019;2023-03-20 11:15:36.7230000
29397;0.00;3.43;1.91;2019;2023-03-20 11:15:36.7230000
29427;0.00;0.00;3.39;2019;2023-03-20 11:15:36.7230000
29452;0.00;0.00;4.43;2019;2023-03-20 11:15:36.7230000
294603;0.00;2.64;1.45;2019;2023-03-20 11:15:36.7230000
2948;5.80;0.00;0.00;2019;2023-03-20 11:15:36.7230000
29488;0.00;2.94;2.72;2019;2023-03-20 11:15:36.7230000
29506;0.00;3.63;2.57;2019;2023-03-20 11:15:36.7230000
2951;0.00;5.38;0.00;2019;2023-03-20 11:15:36.7230000
29543;0.00;3.53;2.65;2019;2023-03-20 11:15:36.7230000
29609;0.00;3.60;2.34;2019;2023-03-20 11:15:36.7230000
2963;0.00;3.23;1.89;2019;2023-03-20 11:15:36.7230000
29634;0.00;3.63;2.36;2019;2023-03-20 11:15:36.7230000
296533;5.04;3.38;2.66;2019;2023-03-20 11:15:36.7230000
29661;0.00;3.27;3.07;2019;2023-03-20 11:15:36.7230000
296740;3.87;0.00;0.00;2019;2023-03-20 11:15:36.7230000
29713;0.00;4.10;4.02;2019;2023-03-20 11:15:36.7230000
29737;0.00;4.30;2.22;2019;2023-03-20 11:15:36.7230000
297380;0.00;6.85;6.09;2019;2023-03-20 11:15:36.7230000
297392;0.00;3.75;2.08;2019;2023-03-20 11:15:36.7230000
29749;0.00;2.42;2.10;2019;2023-03-20 11:15:36.7230000
2975;0.00;2.66;1.90;2019;2023-03-20 11:15:36.7230000
297501;5.03;3.38;2.17;2019;2023-03-20 11:15:36.7230000
297513;4.75;0.00;0.00;2019;2023-03-20 11:15:36.7230000
297525;0.00;2.75;2.12;2019;2023-03-20 11:15:36.7230000
297537;0.00;3.10;1.86;2019;2023-03-20 11:15:36.7230000
29762;0.00;3.93;2.85;2019;2023-03-20 11:15:36.7230000
297653;0.00;3.48;2.35;2019;2023-03-20 11:15:36.7230000
29774;0.00;4.23;3.36;2019;2023-03-20 11:15:36.7230000
29798;0.00;3.30;2.74;2019;2023-03-20 11:15:36.7230000
29804;0.00;3.72;2.87;2019;2023-03-20 11:15:36.7230000
29816;0.00;0.00;3.04;2019;2023-03-20 11:15:36.7230000
29836;0.00;0.00;2.11;2019;2023-03-20 11:15:36.7230000
29865;0.00;4.10;0.00;2019;2023-03-20 11:15:36.7230000
2987;5.53;0.00;0.00;2019;2023-03-20 11:15:36.7230000
29877;0.00;2.79;3.01;2019;2023-03-20 11:15:36.7230000
29889;0.00;4.13;4.07;2019;2023-03-20 11:15:36.7230000
29890;0.00;4.14;2.86;2019;2023-03-20 11:15:36.7230000
