BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF
6,3,0,0,8,1,6,0.0
4,5,1,2,23,1,16,3.03
6,5,4,2,21,0,9,3.16
8,4,2,2,19,2,16,2.86
5,3,0,1,11,0,8,0.0
8,5,2,2,21,1,9,0.0
10,6,2,1,17,1,11,3.08
5,3,1,1,10,0,6,0.0
6,5,1,0,12,1,7,3.13
17,3,2,1,20,1,10,3.6
4,3,1,0,6,1,8,4.33
4,3,0,1,14,1,8,0.0
8,5,2,2,27,1,14,5.71
5,4,1,0,11,0,6,0.0
8,4,2,1,16,1,9,2.46
4,3,1,2,16,1,14,0.0
9,5,1,1,19,1,6,4.2
6,4,2,1,16,1,11,3.47
4,2,1,1,11,1,11,2.89
8,4,2,1,18,0,10,0.0
9,3,0,1,17,0,9,0.0
7,2,1,1,9,1,8,4.25
7,3,1,1,10,1,10,3.01
3,3,1,1,4,0,4,0.0
4,4,1,0,16,1,7,0.0
6,3,1,1,12,0,8,3.96
7,4,1,1,16,1,8,5.55
5,6,0,0,12,1,8,0.0
4,2,1,1,14,1,8,0.0
4,3,1,1,18,0,7,0.0
6,3,0,1,18,0,14,0.0
3,3,1,2,20,0,5,4.1
5,4,1,1,21,1,6,0.0
5,3,4,2,15,1,7,3.73
8,6,0,1,15,0,4,0.0
9,5,1,1,19,1,11,3.44
5,4,1,1,16,1,9,0.0
4,5,1,1,22,1,9,0.0
6,5,3,1,19,1,10,3.61
5,7,3,2,26,1,10,2.7
3,3,1,1,12,1,7,0.0
6,4,2,1,20,1,11,3.37
5,5,1,1,19,1,12,3.91
4,5,1,1,13,1,8,2.32
7,5,1,2,14,1,9,3.43
4,3,2,1,16,1,6,2.59
4,2,1,1,7,0,8,1.93
7,4,2,1,16,1,12,3.25
5,3,3,1,11,0,10,2.75
3,3,0,1,3,1,4,0.0
5,3,0,1,8,0,6,0.0
5,3,1,1,9,0,6,0.0
10,4,2,1,18,1,7,3.02
6,2,1,1,19,2,9,2.76
4,5,2,1,21,1,9,3.78
4,3,2,1,10,1,7,3.86
7,3,2,2,18,1,14,2.62
5,5,1,1,20,1,8,3.46
4,1,1,1,8,0,7,0.0
3,2,2,1,10,0,6,3.04
7,4,1,1,17,1,5,2.22
6,3,1,0,12,1,6,0.0
5,3,3,1,15,1,6,2.87
6,3,1,1,5,1,4,2.61
7,5,3,2,18,1,16,3.4
8,4,1,1,21,0,10,2.94
4,5,1,2,14,0,9,0.0
5,4,2,1,22,2,9,2.46
6,4,0,1,18,0,7,4.09
7,3,0,1,17,1,8,3.89
5,2,0,1,10,0,6,4.7
5,4,2,1,10,0,7,3.87
6,4,2,2,20,0,13,3.88
4,3,0,1,12,1,7,0.0
6,5,1,1,11,1,7,2.91
6,4,2,1,17,1,10,2.77
4,5,0,1,11,2,7,0.0
10,2,2,1,19,0,8,2.63
9,5,3,2,17,1,8,4.67
10,4,2,1,18,1,10,3.07
4,5,3,2,17,1,8,2.84
8,4,1,1,25,1,16,3.39
7,5,2,2,24,1,16,3.3
5,3,0,1,12,1,6,3.38
4,3,1,1,8,1,9,3.48
4,3,0,1,16,3,7,3.21
8,5,2,1,14,1,14,3.34
7,5,2,1,11,1,10,3.15
9,4,2,1,15,2,10,3.16
4,4,2,1,20,1,7,3.67
6,4,2,1,19,1,5,3.68
5,3,1,1,14,1,8,3.23
10,4,2,2,19,1,21,2.24
4,4,0,1,15,0,9,3.39
9,2,1,1,14,1,9,4.01
5,4,0,1,19,1,5,0.0
4,3,2,1,13,1,10,3.89
5,4,1,1,26,1,8,3.14
8,3,2,1,12,0,12,3.96
6,3,2,1,17,1,15,3.62
5,4,2,1,17,1,10,2.79
2,3,1,1,8,1,5,2.64
3,2,1,1,10,1,6,2.69
7,5,5,2,13,2,12,0.0
4,5,3,2,17,1,10,2.9
5,5,2,1,21,1,10,2.7
9,3,2,1,20,1,11,3.16
7,3,2,1,15,1,12,3.04
4,4,1,1,11,1,9,3.08
8,5,0,1,18,1,9,2.64
4,3,0,1,8,0,4,3.2
5,4,1,1,15,0,8,3.22
4,4,2,2,16,1,12,4.44
5,3,0,1,7,1,7,4.31
4,2,1,1,7,1,5,3.34
6,4,1,2,15,0,7,3.75
5,4,1,2,23,1,11,0.0
