BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF,CLASSIFICACAO_NOTA
2,2,2,1,8,0,6,2.87,D
6,3,1,0,7,0,8,0.0,E
5,4,2,1,11,1,7,3.11,D
7,4,3,1,12,1,8,0.0,E
5,4,3,2,8,1,8,0.0,E
6,6,1,1,19,1,9,0.0,E
5,4,3,1,19,1,10,3.99,C
4,2,1,1,18,1,7,3.0,D
2,2,1,1,10,1,6,3.24,C
7,3,1,1,13,1,8,3.35,C
8,5,4,2,27,1,10,4.86,B
4,2,1,0,18,1,7,0.0,E
6,8,1,1,18,1,9,0.0,E
5,2,1,1,8,1,5,3.35,C
4,4,1,2,11,0,6,3.0,D
6,3,1,1,9,1,6,0.0,E
12,4,3,1,14,1,4,4.32,C
8,5,1,1,13,1,7,0.0,E
4,3,2,2,17,1,10,2.42,D
4,3,2,1,17,1,5,4.52,C
6,3,0,1,16,0,17,0.0,E
5,3,1,0,10,1,9,2.55,D
5,4,2,0,10,1,7,3.45,C
7,5,3,2,19,1,8,0.0,E
5,3,1,0,11,1,6,2.76,D
5,5,4,2,16,1,13,0.0,E
10,2,3,1,9,1,8,0.0,E
4,4,2,0,18,1,8,0.0,E
7,4,1,1,9,1,6,0.0,E
6,3,0,0,7,1,5,3.7,C
5,3,0,1,9,0,9,0.0,E
7,3,1,1,8,1,5,4.16,C
8,6,5,1,20,1,10,0.0,E
6,3,1,1,10,1,7,0.0,E
5,1,2,0,9,1,8,3.37,C
7,4,1,1,18,1,12,2.0,D
6,6,2,2,18,1,15,2.45,D
4,5,2,1,20,1,8,3.11,D
5,4,2,2,16,1,10,2.3,D
8,3,1,2,15,2,8,0.0,E
7,4,1,1,13,2,15,3.44,C
5,3,3,1,11,1,10,0.0,E
7,3,3,2,9,1,12,0.0,E
4,5,2,2,14,1,9,3.83,C
5,3,0,1,7,1,7,3.74,C
7,2,2,2,10,1,13,2.98,D
5,2,1,0,6,1,5,0.0,E
4,3,0,1,12,2,10,0.0,E
5,3,1,2,13,1,7,3.3,C
7,2,0,1,14,1,7,0.0,E
9,5,2,2,27,1,18,4.2,C
6,4,3,3,18,1,12,5.94,B
7,3,1,1,18,1,14,3.75,C
5,3,2,2,27,1,17,2.61,D
8,3,2,2,21,1,11,4.03,C
5,2,0,2,19,1,12,4.59,C
6,5,0,1,15,1,12,3.57,C
4,4,1,1,12,1,9,0.0,E
9,3,1,1,14,1,12,2.55,D
10,5,4,1,12,2,10,2.16,D
9,3,2,2,27,1,10,4.18,C
6,2,2,1,10,1,11,2.98,D
6,4,4,2,15,1,11,3.99,C
6,4,1,1,10,1,7,4.0,C
4,3,1,1,12,1,10,3.21,D
5,2,1,1,7,1,14,3.7,C
9,4,1,1,17,2,14,0.0,E
4,1,1,1,7,1,10,4.49,C
10,4,2,2,14,1,15,3.16,D
6,2,1,1,9,1,11,2.64,D
8,3,3,1,8,1,4,3.21,D
5,5,1,1,14,0,9,3.44,C
10,3,2,2,12,1,8,3.74,C
5,3,1,1,12,0,9,3.49,C
8,3,2,2,19,2,18,0.0,E
5,3,2,1,11,1,11,4.38,C
7,3,3,3,23,1,12,3.19,D
6,2,1,1,8,1,8,3.84,C
4,1,1,1,4,0,7,0.0,E
6,5,1,1,14,1,14,0.0,E
8,5,2,2,13,1,16,6.07,B
4,1,1,0,5,1,5,3.93,C
6,2,1,1,8,0,9,3.24,C
6,4,2,1,9,1,13,4.57,C
5,5,0,1,15,1,14,0.0,E
10,7,2,2,18,1,30,3.32,C
11,4,3,4,17,1,19,0.0,E
5,3,1,1,11,2,13,0.0,E
5,2,1,1,11,1,9,0.0,E
14,3,6,3,27,1,26,3.07,D
7,3,4,1,15,1,13,4.14,C
5,2,1,0,5,1,6,4.57,C
5,2,3,2,11,1,17,2.85,D
5,2,0,2,10,1,8,3.05,D
6,4,1,1,10,1,15,0.0,E
9,4,1,3,14,1,14,3.7,C
7,3,3,2,19,1,10,3.17,D
5,5,2,1,23,1,24,3.66,C
4,4,2,1,10,1,9,3.23,D
6,2,1,1,15,1,15,3.1,D
11,4,2,2,14,1,15,3.01,D
12,5,2,2,20,1,12,4.04,C
7,5,2,2,17,1,18,2.32,D
5,4,1,1,13,1,8,3.1,D
5,3,1,2,13,1,10,3.33,C
9,4,1,1,10,1,9,0.0,E
4,4,1,2,12,1,11,4.48,C
4,6,3,1,17,1,12,0.0,E
5,4,2,1,14,1,18,2.91,D
7,6,1,1,13,1,10,4.3,C
7,4,1,1,16,1,12,4.1,C
6,3,0,1,7,1,12,0.0,E
5,2,0,1,12,1,10,4.57,C
8,2,2,1,11,1,18,2.13,D
7,4,0,1,16,1,9,0.0,E
7,1,2,2,11,1,20,3.59,C
13,7,2,2,21,2,20,2.96,D
6,5,2,2,14,1,7,3.33,C
12,6,1,1,15,1,13,3.54,C
9,8,4,2,18,2,16,3.81,C
8,5,3,2,15,1,16,4.93,B
5,1,1,1,7,1,8,3.62,C
5,3,1,2,20,1,8,4.85,C
16,8,3,3,29,2,27,0.0,E
9,5,2,1,15,1,9,3.86,C
8,2,1,1,12,1,11,2.92,D
5,3,1,1,9,0,5,2.75,D
5,2,0,1,12,2,5,3.64,C
4,1,1,1,9,1,13,3.55,C
19,5,2,3,30,2,21,4.31,C
4,3,0,1,7,1,10,2.28,D
9,2,3,2,18,1,11,6.39,B
5,2,1,2,15,1,12,3.8,C
5,3,2,2,12,1,9,5.48,B
8,3,2,1,13,1,13,4.01,C
4,2,0,1,15,1,8,3.56,C
5,4,2,1,11,1,8,3.59,C
5,5,3,2,16,1,11,4.06,C
7,4,1,1,16,0,12,0.0,E
10,6,1,2,10,1,18,3.39,C
5,2,1,1,11,1,16,3.44,C
3,3,3,1,19,1,12,2.49,D
5,3,1,1,10,1,18,3.46,C
4,2,2,1,8,1,9,3.9,C
7,4,2,2,15,2,12,2.48,D
8,4,1,1,12,1,13,0.0,E
4,3,1,1,20,1,9,2.47,D
9,5,2,3,26,1,14,4.11,C
